"Combined_Key","Admin2","Province.State","Country.Region","confirmed","deaths","date","confirmed_new","deaths_new","hasErrors","hasParent","country_code","country_code3","territory_code"
"Wake, North Carolina, US","Wake","North Carolina","US",0,0,2020-02-12,0,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",0,0,2020-02-13,0,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",0,0,2020-02-14,0,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",0,0,2020-02-15,0,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",0,0,2020-02-16,0,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",0,0,2020-02-17,0,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",0,0,2020-02-18,0,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",0,0,2020-02-19,0,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",0,0,2020-02-20,0,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",0,0,2020-02-21,0,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",0,0,2020-02-22,0,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",0,0,2020-02-23,0,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",0,0,2020-02-24,0,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",0,0,2020-02-25,0,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",0,0,2020-02-26,0,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",0,0,2020-02-27,0,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",0,0,2020-02-28,0,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",0,0,2020-02-29,0,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",0,0,2020-03-01,0,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",0,0,2020-03-02,0,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",1,0,2020-03-03,1,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",1,0,2020-03-04,0,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",1,0,2020-03-05,0,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",1,0,2020-03-06,0,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",1,0,2020-03-07,0,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",1,0,2020-03-08,0,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",1,0,2020-03-09,0,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",6,0,2020-03-10,5,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",6,0,2020-03-11,0,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",7,0,2020-03-12,1,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",8,0,2020-03-13,1,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",11,0,2020-03-14,3,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",14,0,2020-03-15,3,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",15,0,2020-03-16,1,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",15,0,2020-03-17,0,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",22,0,2020-03-18,7,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",25,0,2020-03-19,3,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",32,0,2020-03-20,7,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",32,0,2020-03-21,0,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",52,0,2020-03-22,20,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",52,0,2020-03-23,0,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",66,0,2020-03-24,14,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",73,0,2020-03-25,7,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",100,0,2020-03-26,27,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",123,0,2020-03-27,23,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",123,0,2020-03-28,0,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",146,0,2020-03-29,23,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",166,0,2020-03-30,20,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",193,0,2020-03-31,27,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",213,0,2020-04-01,20,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",251,0,2020-04-02,38,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",275,0,2020-04-03,24,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",283,0,2020-04-04,8,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",304,0,2020-04-05,21,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",314,0,2020-04-06,10,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",351,0,2020-04-07,37,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",365,0,2020-04-08,14,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",385,0,2020-04-09,20,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",391,0,2020-04-10,6,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",424,0,2020-04-11,33,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",470,0,2020-04-12,46,0,FALSE,TRUE,"US","USA","US-NC"
"Wake, North Carolina, US","Wake","North Carolina","US",476,0,2020-04-13,6,0,FALSE,TRUE,"US","USA","US-NC"
